id_interno,nombre,codigo_barra,principio_activo,concentracion,tamano,forma_farmaceutica,laboratorio,categoria,market_type,unidad_negocio
140216,ACETAMINOFEN,,,500 MG,20 unidades,Tabletas,LA SANTE,Otros,GENERICO,La Sante
140218,ACETAMINOFEN,,,650 MG,10 unidades,Tabletas,LA SANTE,Otros,GENERICO,La Sante
140220,ACICLOVIR,,,200 MG,24 unidades,Tabletas,LA SANTE,Otros,GENERICO,La Sante
140224,ALBENDAZOL,,,200 MG,2 unidades,Tabletas,LA SANTE,Otros,GENERICO,La Sante
140225,ALBENDAZOL,,,200 MG,6 unidades,Tabletas,LA SANTE,Otros,GENERICO,La Sante
140226,ALBENDAZOL,,,400MG/20 ML,120 ml,SuspensiÃ³n,LA SANTE,Otros,GENERICO,La Sante
140227,AMBROXOL AD,,,30 MG/5 ML,120 ml,Jarabe,LA SANTE,Otros,GENERICO,La Sante
140228,AMBROXOL PED,,,15 MG/5 ML,120 ml,Jarabe,LA SANTE,Otros,GENERICO,La Sante
140229,AMLODIPINO,,,10 MG,10 unidades,Tabletas,LA SANTE,Otros,GENERICO,La Sante
140232,AMLODIPINO,,,5 MG,10 unidades,Tabletas,LA SANTE,Otros,GENERICO,La Sante
140237,AMOXICILINA VZLA,,,500 MG,12 unidades,CÃ¡psulas,LA SANTE,Otros,GENERICO,La Sante
140238,AMOXICILINA VZLA,,,500 MG,6 unidades,CÃ¡psulas,LA SANTE,Otros,GENERICO,La Sante
140240,AMPICILINA VZLA,,,250MG/5ML,60 ml,Polvo para suspensiÃ³n,LA SANTE,Otros,GENERICO,La Sante
140254,ATENOLOL,,,100 MG,30 unidades,Tabletas,LA SANTE,Otros,GENERICO,La Sante
140255,ATENOLOL,,,50 MG,30 unidades,Tabletas,LA SANTE,Otros,GENERICO,La Sante
140263,ATORVASTATINA VZLA,,,20 MG,14 unidades,Tabletas,LA SANTE,Otros,GENERICO,La Sante
140265,ATORVASTATINA,,,40 MG,14 unidades,Tabletas,LA SANTE,Otros,GENERICO,La Sante
140269,AZITROMICINA VZLA,,,500 MG,5 unidades,Tabletas,LA SANTE,Otros,GENERICO,La Sante
140280,BROXOL FLEM AD,,,,120 ml,Otro,LA SANTE,Otros,GENERICO,OTC
140284,BROXOL FLEM PED,,,,120 ml,Otro,LA SANTE,Otros,GENERICO,OTC
140291,BROXOL GRIP PEDIÃTRICO,,,,120 ml,Jarabe,LA SANTE,Otros,GENERICO,OTC
140299,BUMETIN RETARD,,,300 MG,20 unidades,Tabletas,LA SANTE,Otros,MARCA,Pharmetique
140307,CAPTOPRIL,,,25 MG,20 unidades,Tabletas,LA SANTE,Otros,GENERICO,La Sante
140312,CEFADROXILO VZL,,,250 MG/5 ML,60 ml,Polvo para suspensiÃ³n,LA SANTE,Otros,GENERICO,La Sante
140313,CEFADROXILO VZLA,,,500 MG,12 unidades,CÃ¡psulas,LA SANTE,Otros,GENERICO,La Sante
140319,CETIRIZINA,,,10 MG,10 unidades,Tabletas,LA SANTE,Otros,GENERICO,La Sante
140328,CIPROFLOXACINA,,,500 MG,6 unidades,Tabletas,LA SANTE,Otros,GENERICO,La Sante
140334,CLARITROMICINA VZL,,,500 MG,10 unidades,Tabletas,LA SANTE,Otros,GENERICO,La Sante
140337,CLOPIDOGREL,,,75 MG,14 unidades,Tabletas,LA SANTE,Otros,GENERICO,La Sante
140339,CLOTRIM+NEOMIC+DEXAMETA VZL,,,,20 g,Crema,LA SANTE,Otros,GENERICO,La Sante
140346,DAKSOL,,,500 MG,4 unidades,Tabletas,LA SANTE,Otros,MARCA,Pharmetique
140357,DESLORATADINA,,,2.5 MG/5ML,60 ml,Jarabe,LA SANTE,Otros,GENERICO,La Sante
140358,DESLORATADINA,,,5 MG,10 unidades,Tabletas,LA SANTE,Otros,GENERICO,La Sante
140365,DICLOFENACO SODICO,,,50 MG,20 unidades,Tabletas,LA SANTE,Otros,GENERICO,La Sante
140373,ENALAPRIL VEN,,,20 MG,20 unidades,Tabletas,LA SANTE,Otros,GENERICO,La Sante
140375,ENALAPRIL,,,10 MG,20 unidades,Comprimidos,LA SANTE,Otros,GENERICO,La Sante
140391,FLUCONAZOL,,,150 MG,2 unidades,CÃ¡psulas,LA SANTE,Otros,GENERICO,La Sante
140393,FLUDIL,,,10 MG,20 unidades,Tabletas,LA SANTE,Otros,MARCA,Pharmetique
140398,GENTAMICINA,,,0.1%,15 g,Crema,LA SANTE,Otros,GENERICO,La Sante
140402,GLIMEPIRIDE,,,2 MG,16 unidades,Tabletas,LA SANTE,Otros,GENERICO,La Sante
140403,GLIMEPIRIDE,,,2 MG,30 unidades,Tabletas,LA SANTE,Otros,GENERICO,La Sante
140404,GLIMEPIRIDE,,,4 MG,16 unidades,Tabletas,LA SANTE,Otros,GENERICO,La Sante
140405,GLIMEPIRIDE,,,4 MG,30 unidades,Tabletas,LA SANTE,Otros,GENERICO,La Sante
140410,GLIMERID,,,4 MG,30 unidades,Tabletas,LA SANTE,Otros,MARCA,Pharmetique
140418,IBUPROFENO,,,100 MG/5 ML + 60 ML,120 ml,SuspensiÃ³n,BIOQUï¿½MUICA,Otros,GENERICO,La Sante
140431,ITISONA,,,,30 g,Crema,LA SANTE,Otros,MARCA,Pharmetique
140435,KETOPROFENO,,,100 MG,20 unidades,CÃ¡psulas,LA SANTE,Otros,GENERICO,La Sante
140440,KLAFENAC RAPILENT,,,100 MG,10 unidades,CÃ¡psulas,LA SANTE,Otros,MARCA,Pharmetique
140445,LEPRIT,,,25 MG,30 unidades,Tabletas,LA SANTE,Otros,MARCA,Pharmetique
140447,LORACERT,,,5MG - 60MG + 5ML,60 ml,Jarabe,LA SANTE,Otros,MARCA,Pharmetique
140451,LORATADINA,,,10MG,10 unidades,Tabletas,LA SANTE,Otros,GENERICO,La Sante
140459,LOSARTAN + HCTZ,,,50/12.5MG,15 unidades,Tabletas,LA SANTE,Otros,GENERICO,La Sante
140463,LOSARTAN POTASICO,,,50 MG,14 unidades,Tabletas,CALOX,Otros,GENERICO,La Sante
140465,MELOXICAM,,,15 MG,10 unidades,Tabletas,LA SANTE,Otros,GENERICO,La Sante
140466,MELOXICAM VZL,,,7.5 MG,10 unidades,Tabletas,LA SANTE,Otros,GENERICO,La Sante
140475,MONTELUKAST,,,10MG,30 unidades,Tabletas recubiertas,LA SANTE,Otros,GENERICO,La Sante
140476,MONTELUKAST,,,5MG,30 unidades,Tabletas masticables,LA SANTE,Otros,GENERICO,La Sante
140488,MONUKAST,,,5 MG,30 unidades,Tabletas masticables,LA SANTE,Otros,MARCA,Pharmetique
140489,MOXIFLOXACINO VZL,,,400 MG,7 unidades,Tabletas,LA SANTE,Otros,GENERICO,La Sante
140495,NOGINOX VAG APLI,,,1%,40 g,Crema,LA SANTE,Otros,MARCA,Pharmetique
140499,OMEPRAZOL,,,20 MG,30 unidades,CÃ¡psulas,LA SANTE,Otros,GENERICO,La Sante
140501,OMEPRAZOL,,,20 MG,8 unidades,CÃ¡psulas,LA SANTE,Otros,GENERICO,La Sante
140505,PIROXICAM,,,20 MG,10 unidades,CÃ¡psulas,LA SANTE,Otros,GENERICO,La Sante
140518,SERTRALINA VZL,,,50 MG,10 unidades,Tabletas,LA SANTE,Otros,GENERICO,La Sante
140526,SILDENAFIL,,,50 MG,1 unidad,Tabletas recubiertas,LA SANTE,Otros,GENERICO,La Sante
140559,TIOCOLFEN,,,600 MG - 4 MG,15 unidades,Tabletas,LA SANTE,Otros,MARCA,Pharmetique
140565,TRIPUR,,,80MG-400MG,20 unidades,Tabletas,LA SANTE,Otros,MARCA,Pharmetique
140568,VALSARTAN-HCTZ VZL,,,80-12.5MG,14 unidades,Tabletas recubiertas,LA SANTE,Otros,GENERICO,La Sante
140570,VALSARTAN VZL,,,80 MG,14 unidades,Tabletas,LA SANTE,Otros,GENERICO,La Sante
140579,XEROGRAX,,,120 MG,30 unidades,CÃ¡psulas,LA SANTE,Otros,MARCA,Pharmetique
140621,IBUPROFENO,,,800 MG,10 unidades,Tabletas,LA SANTE,Otros,GENERICO,La Sante
141167,NITAZOXANIDA VZL,,,500MG,6 unidades,Tabletas,LA SANTE,Otros,GENERICO,La Sante
