id_interno,nombre,codigo_barra,principio_activo,concentracion,tamano,forma_farmaceutica,laboratorio,categoria,market_type,unidad_negocio
140299,BUMETIN RETARD,,,300 MG,20 unidades,Tabletas,LA SANTE,Otros,MARCA,Pharmetique
140346,DAKSOL,,,500 MG,4 unidades,Tabletas,LA SANTE,Otros,MARCA,Pharmetique
140393,FLUDIL,,,10 MG,20 unidades,Tabletas,LA SANTE,Otros,MARCA,Pharmetique
140410,GLIMERID,,,4 MG,30 unidades,Tabletas,LA SANTE,Otros,MARCA,Pharmetique
140440,KLAFENAC RAPILENT,,,100 MG,10 unidades,Cápsulas,LA SANTE,Otros,MARCA,Pharmetique
140445,LEPRIT,,,25 MG,30 unidades,Tabletas,LA SANTE,Otros,MARCA,Pharmetique
140447,LORACERT,,,5MG - 60MG + 5ML,60 ml,Jarabe,LA SANTE,Otros,MARCA,Pharmetique
140488,MONUKAST,,,5 MG,30 unidades,Tabletas masticables,LA SANTE,Otros,MARCA,Pharmetique
140495,NOGINOX VAG,,,1%,40 g,Crema,LA SANTE,Otros,MARCA,Pharmetique
140559,TIOCOLFEN,,,600 MG - 4 MG,15 unidades,Tabletas,LA SANTE,Otros,MARCA,Pharmetique
140565,TRIPUR,,,80MG-400MG,20 unidades,Tabletas,LA SANTE,Otros,MARCA,Pharmetique
140579,XEROGRAX,,,120 MG,30 unidades,Cápsulas,LA SANTE,Otros,MARCA,Pharmetique
141806,BROXOL AD SIN AZÃšCAR SIN ALCOHOL,,,210MG/15ML,120 ml,Jarabe,LA SANTE,Otros,GENERICO,OTC
142670,FLUDIL,,,10 MG,40 unidades,Tabletas,LA SANTE,Otros,MARCA,Pharmetique
142730,DESLER M,,,5MG - 10MG,30 unidades,Tabletas,LA SANTE,Otros,MARCA,Pharmetique
142732,DESLER M PED,,,1.25MG-4MG,30 unidades,Granulado,LA SANTE,Otros,MARCA,Pharmetique
142786,ANALPER PLUS,,,500 MG,10 unidad,Tabletas,PHARMETIQUELABS,Otros,MARCA,La Sante
142789,ESOZ,,,20 MG,14 unidades,Cápsulas,LA SANTE,Otros,MARCA,Pharmetique
142790,ESOZ,,,20 MG,28 unidades,Cápsulas,LA SANTE,Otros,MARCA,Pharmetique
142791,ESOZ,,,40 MG,14 unidades,Cápsulas,LA SANTE,Otros,MARCA,Pharmetique
142792,ESOZ,,,40 MG,28 unidades,Cápsulas,LA SANTE,Otros,MARCA,Pharmetique
142941,DESLER M,,,2.5 MG - 5 MG,30 unidades,Tabletas masticables,LA SANTE,Otros,MARCA,Pharmetique
